,district,name,538_democrat_wins,538_diff_from_even,cook_name,cook_pvi_rating,cook_category
0,AK-01,Don Young,24.31,25.69,Don Young,-9.0,SOLID_REPUBLICAN
265,NM-02,Open seat,24.28,25.72,Open seat,-6.0,LEAN_REPUBLICAN
213,MN-02,Jason Lewis,76.13,26.129999999999995,Jason Lewis,-2.0,TOSS_UP_REPUBLICAN
318,OK-05,Steve Russell,23.67,26.33,Steve Russell,-10.0,SOLID_REPUBLICAN
162,IN-09,Trey Hollingsworth,23.53,26.47,Trey Hollingsworth,-13.0,SOLID_REPUBLICAN
9,AR-02,French Hill,22.65,27.35,French Hill,-7.0,LEAN_REPUBLICAN
45,CA-25,Steve Knight,77.44,27.439999999999998,Steve Knight,0.0,TOSS_UP_REPUBLICAN
19,AZ-08,Debbie Lesko,21.54,28.46,Debbie Lesko,-13.0,SOLID_REPUBLICAN
324,PA-01,Brian Fitzpatrick,21.52,28.48,Brian Fitzpatrick,-1.0,LEAN_REPUBLICAN
238,NC-06,Mark Walker,21.51,28.49,Mark Walker,-9.0,SOLID_REPUBLICAN
270,NV-04,Open seat,78.55,28.549999999999997,Open seat,3.0,LIKELY_DEMOCRATIC
165,KS-03,Kevin Yoder,21.21,28.79,Kevin Yoder,-4.0,TOSS_UP_REPUBLICAN
423,WI-01,Open seat,20.76,29.24,Open seat,-5.0,LEAN_REPUBLICAN
391,TX-31,John Carter,20.11,29.89,John Carter,-10.0,LIKELY_REPUBLICAN
400,UT-04,Mia Love,19.01,30.99,Mia Love,-13.0,LEAN_REPUBLICAN
198,MI-01,Jack Bergman,18.99,31.01,Jack Bergman,-9.0,LIKELY_REPUBLICAN
311,OH-14,David Joyce,18.93,31.07,David Joyce,-5.0,LIKELY_REPUBLICAN
272,NY-02,Pete King,18.79,31.21,Peter King,-3.0,SOLID_REPUBLICAN
381,TX-21,Open seat,17.81,32.19,Open seat,-10.0,LIKELY_REPUBLICAN
133,IA-04,Steve King,17.55,32.45,Steve King,-11.0,SOLID_REPUBLICAN
344,SC-01,Open seat,15.0,35.0,Open seat,-10.0,LEAN_REPUBLICAN
203,MI-06,Fred Upton,14.96,35.04,Fred Upton,-4.0,LIKELY_REPUBLICAN
